"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"673c3020e0129c27ae02563a","9f4be5db-6ece-4ee1-bf15-4e384521e57a","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4-bky5j-4jmpz-t98wc-mfrp5-agpl8-5mf7n-ye2pm-t45hb-zbmwj","Coconut Musk","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Coconut Musk</strong> smells creamy, soft, and tropical — combining the milky sweetness of coconut with the clean, powdery warmth of musk. It’s smooth, comforting, and sun-kissed, with a gentle, skin-like finish that feels effortlessly relaxing.</p>","SQ5312605","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/07410597-5789-4319-9f3a-edfc0be8a5d3/image_Pippit_202506301816+%2873%29.jfif"
"","153bbfce-8ed1-4f77-bd52-eb196603dee5","","","","","","SQ8217267","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","c741ca1e-6921-4ad5-8aef-dba35a252d1f","","","","","","SQ2345143","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","69c005c5-a5e4-489e-a619-52e54b47f1a1","","","","","","SQ7663544","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3022f2f9042b15c3b1fc","122db77c-9e00-4842-8cd6-23ae44c4d65c","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4-bky5j-4jmpz-t98wc-mfrp5-agpl8-5mf7n-ye2pm-t45hb","Pure Musk","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Pure Musk</strong> smells like crisp linen and gentle powder — bright, fresh, and softly clean. It has a subtle, soothing warmth with a silky, delicate finish that feels refreshing, light, and naturally elegant.</p>","SQ4382287","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /men, /women","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/7a9e1322-8d20-42d3-97c1-e32b1938dab3/image_Pippit_202506301816+%2875%29.jfif"
"","baccb6d1-8c3a-4018-9c2f-c0f26d5aeaaa","","","","","","SQ5453053","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","6044f62d-c0a6-4f11-89c7-86099cc16908","","","","","","SQ7324475","Product Type","Essence Oil","Size","10ml","","","","","","","","","19.99","19.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","b76af19d-29f8-462d-afb4-2d1556546a19","","","","","","SQ4808003","Product Type","Body Lotion","Size","150ml","","","","","","","","","29.99","29.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"673c3024bfcb1a380a4714dd","0417f5a9-db1d-49fc-8522-bc7a79c7fa38","PHYSICAL","shop","y42k8fefxcnxblg-2wb2d-4yf22-y7rph-586k5-wrzb3-psbdx-hcfms-rety2-keysl-wfyc8-9l5gj-dadsb-chcyn-82z2t-mpfhx-x2n3d-jbyez-g9d5h-azxfp-nwdxw-g8fd4-bky5j-4jmpz-t98wc-mfrp5-agpl8-5mf7n-ye2pm","Rose Musk","<p class="""" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Rose Musk</strong> smells elegant, romantic, and airy — a blend of fresh, dewy roses and soft, powdery musk. It’s floral yet clean, with a delicate sweetness and a smooth, lingering trail that feels timeless and graceful.</p>","SQ0172226","Product Type","Perfume","Size","50ml","","","","","","","","","29.99","29.99","No","Unlimited","/niche, /aquador, /women","","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/66901f0f8865462c0ac066ba/9493872b-6c77-4631-b0ad-a669927a1440/image_Pippit_202506301816+%2876%29.jfif"
"","71d55d68-6de7-4bbe-8eda-c56252efd3ee","","","","","","SQ0056307","Product Type","Perfume","Size","100ml","","","","","","","","","49.99","49.99","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
